GameID,Date,AwayTeam,HomeTeam
717657,2023-06-22T17:05:00Z,Atlanta Braves,Philadelphia Phillies
717660,2023-06-22T17:10:00Z,Oakland Athletics,Cleveland Guardians
717658,2023-06-22T17:10:00Z,Boston Red Sox,Minnesota Twins
717661,2023-06-22T19:45:00Z,San Diego Padres,San Francisco Giants
717659,2023-06-22T22:40:00Z,Kansas City Royals,Tampa Bay Rays
717654,2023-06-22T22:40:00Z,Pittsburgh Pirates,Miami Marlins
717652,2023-06-22T23:05:00Z,Seattle Mariners,New York Yankees
717649,2023-06-23T22:40:00Z,Kansas City Royals,Tampa Bay Rays
717647,2023-06-23T22:40:00Z,Minnesota Twins,Detroit Tigers
717650,2023-06-23T22:40:00Z,Atlanta Braves,Cincinnati Reds
717653,2023-06-23T22:40:00Z,Pittsburgh Pirates,Miami Marlins
717651,2023-06-23T23:05:00Z,Seattle Mariners,Baltimore Orioles
717656,2023-06-23T23:05:00Z,New York Mets,Philadelphia Phillies
717655,2023-06-23T23:05:00Z,Texas Rangers,New York Yankees
717646,2023-06-23T23:07:00Z,Oakland Athletics,Toronto Blue Jays
717648,2023-06-23T23:10:00Z,Milwaukee Brewers,Cleveland Guardians
717645,2023-06-24T00:10:00Z,Boston Red Sox,Chicago White Sox
717644,2023-06-24T00:40:00Z,Los Angeles Angels,Colorado Rockies
717642,2023-06-24T01:40:00Z,Washington Nationals,San Diego Padres
717643,2023-06-24T02:10:00Z,Houston Astros,Los Angeles Dodgers
717641,2023-06-24T02:15:00Z,Arizona Diamondbacks,San Francisco Giants
717637,2023-06-24T17:10:00Z,Chicago Cubs,St. Louis Cardinals
717628,2023-06-24T20:05:00Z,Seattle Mariners,Baltimore Orioles
717639,2023-06-24T20:05:00Z,Arizona Diamondbacks,San Francisco Giants
717635,2023-06-24T20:05:00Z,New York Mets,Philadelphia Phillies
717636,2023-06-24T20:05:00Z,Texas Rangers,New York Yankees
717634,2023-06-24T20:07:00Z,Oakland Athletics,Toronto Blue Jays
